Datetime,PondID,PondCode,Temp,Turb,DO,pH
2021-07-10 03:00:00,IoTPond7,4,24.75,33.0,5.113,6.95832
2021-07-10 03:00:00,IoTPond4,2,24.5625,100.0,4.64,7.70733
2021-07-10 04:00:00,IoTPond3,1,23.5625,25.0,10.864,7.31694
2021-07-10 04:00:00,IoTPond9,5,23.4375,95.0,8.634,7.45312
2021-07-10 04:00:00,IoTPond2,0,24.25,100.0,5.798,7.612
2021-07-10 04:00:00,IoTPond7,4,24.6875,33.0,5.012,6.95378
2021-07-10 04:00:00,IoTPond6,3,23.625,100.0,9.239,7.7845
2021-07-10 04:00:00,IoTPond4,2,24.46875,100.0,2.5605,7.71187
2021-07-10 05:00:00,IoTPond4,2,24.4375,100.0,3.533,7.70733
2021-07-10 05:00:00,IoTPond3,1,23.5,26.0,10.721,7.31694
2021-07-10 05:00:00,IoTPond9,5,23.375,93.0,8.634,7.45312
2021-07-10 05:00:00,IoTPond7,4,24.625,33.0,5.1975,6.95832
2021-07-10 05:00:00,IoTPond2,0,24.1875,100.0,7.404,7.612
2021-07-10 05:00:00,IoTPond6,3,23.5625,100.0,8.793,7.79358
2021-07-10 06:00:00,IoTPond4,2,24.375,100.0,5.2059999999999995,7.71187
2021-07-10 06:00:00,IoTPond2,0,24.125,100.0,7.953,7.612
2021-07-10 06:00:00,IoTPond9,5,23.3125,94.0,8.634,7.45312
2021-07-10 06:00:00,IoTPond6,3,23.5,100.0,8.364,7.79358
2021-07-10 06:00:00,IoTPond7,4,24.5625,33.0,5.4384999999999994,6.95378
2021-07-10 06:00:00,IoTPond3,1,23.4375,28.0,9.837,7.31694
2021-07-10 07:00:00,IoTPond7,4,24.5,33.0,5.443,6.95378
2021-07-10 07:00:00,IoTPond9,5,23.25,94.0,8.634,7.44858
2021-07-10 07:00:00,IoTPond2,0,24.0625,100.0,5.912000000000001,7.612
2021-07-10 07:00:00,IoTPond4,2,24.3125,100.0,6.1235,7.70733
2021-07-10 07:00:00,IoTPond6,3,23.5,100.0,6.15,7.7845
2021-07-10 07:00:00,IoTPond3,1,23.375,33.0,8.855,7.31694
2021-07-10 08:00:00,IoTPond3,1,23.375,93.0,5.08,7.31694
2021-07-10 08:00:00,IoTPond9,5,23.25,94.0,8.634,7.4395
2021-07-10 08:00:00,IoTPond2,0,24.0625,100.0,5.7765,7.60973
2021-07-10 08:00:00,IoTPond4,2,24.3125,100.0,6.871,7.70733
2021-07-10 08:00:00,IoTPond7,4,24.5,32.0,5.6455,6.95378
2021-07-10 08:00:00,IoTPond6,3,23.5,100.0,4.704,7.77996
2021-07-10 09:00:00,IoTPond9,5,23.3125,94.0,8.634,7.43042
2021-07-10 09:00:00,IoTPond4,2,24.34375,100.0,5.6665,7.70279
2021-07-10 09:00:00,IoTPond3,1,23.375,16.0,10.953,7.31694
2021-07-10 09:00:00,IoTPond2,0,24.0625,100.0,4.1579999999999995,7.60292
2021-07-10 09:00:00,IoTPond7,4,24.5625,32.0,5.468,6.95378
2021-07-10 09:00:00,IoTPond6,3,23.5625,97.0,4.918,7.77996
2021-07-10 10:00:00,IoTPond2,0,24.125,100.0,2.8395,7.59838
2021-07-10 10:00:00,IoTPond4,2,24.4375,100.0,8.1055,7.70506
2021-07-10 10:00:00,IoTPond3,1,23.4375,19.0,8.962,7.31694
2021-07-10 10:00:00,IoTPond9,5,23.375,93.0,8.634,7.42134
2021-07-10 10:00:00,IoTPond6,3,23.625,96.0,4.3115000000000006,7.77542
2021-07-10 10:00:00,IoTPond7,4,24.6875,32.0,5.2185,6.95378
2021-07-10 11:00:00,IoTPond6,3,23.8125,95.0,6.463,7.77088
2021-07-10 11:00:00,IoTPond7,4,24.875,33.0,6.018000000000001,6.94924
2021-07-10 11:00:00,IoTPond3,1,23.5,24.5,7.721500000000001,7.3124
2021-07-10 11:00:00,IoTPond4,2,24.5,100.0,4.217499999999999,7.69825
2021-07-10 11:00:00,IoTPond2,0,24.25,100.0,3.811,7.59384
2021-07-10 11:00:00,IoTPond9,5,23.5,93.0,8.634,7.41227
2021-07-10 12:00:00,IoTPond6,3,24.0,97.0,6.0385,7.76634
2021-07-10 12:00:00,IoTPond7,4,25.125,32.0,10.676,6.9447
2021-07-10 12:00:00,IoTPond2,0,24.375,100.0,7.391,7.58477
2021-07-10 12:00:00,IoTPond9,5,23.8125,95.0,9.227,7.40773
2021-07-10 12:00:00,IoTPond3,1,23.6875,21.0,5.08,7.3124
2021-07-10 13:00:00,IoTPond9,5,24.125,95.0,9.203,7.41227
2021-07-10 13:00:00,IoTPond7,4,25.4375,33.0,6.776,6.93108
2021-07-10 13:00:00,IoTPond3,1,23.8125,37.0,5.08,7.30786
2021-07-10 13:00:00,IoTPond2,0,24.625,100.0,7.856,7.58477
2021-07-10 13:00:00,IoTPond6,3,24.1875,97.0,5.641,7.77088
2021-07-10 14:00:00,IoTPond3,1,23.875,23.0,4.817,7.30332
2021-07-10 14:00:00,IoTPond9,5,24.375,94.0,9.227,7.42134
2021-07-10 14:00:00,IoTPond7,4,25.6875,33.0,5.534,6.94016
2021-07-10 14:00:00,IoTPond2,0,24.75,100.0,7.2345,7.58023
2021-07-10 14:00:00,IoTPond4,2,25.125,99.0,9.05,7.68917
2021-07-10 14:00:00,IoTPond6,3,24.3125,97.0,4.758,7.76634
2021-07-10 14:00:00,IoTpond1,6,24.8125,100.0,8.57,7.56661
2021-07-10 15:00:00,IoTPond4,2,25.25,100.0,10.512,7.68917
2021-07-10 15:00:00,IoTPond3,1,24.0625,25.0,4.893,7.30332
2021-07-10 15:00:00,IoTPond7,4,25.875,33.0,4.877,6.94016
2021-07-10 15:00:00,IoTpond1,6,24.9375,100.0,6.2095,7.5734200000000005
2021-07-10 15:00:00,IoTPond9,5,24.65625,96.0,9.227,7.43496
2021-07-10 15:00:00,IoTPond6,3,24.4375,96.0,4.623,7.75273
2021-07-10 15:00:00,IoTPond2,0,24.9375,100.0,6.2095,7.5734200000000005
2021-07-10 16:00:00,IoTPond2,0,25.0625,100.0,4.741,7.58023
2021-07-10 16:00:00,IoTpond1,6,25.0625,100.0,4.741,7.58023
2021-07-10 16:00:00,IoTPond4,2,25.375,100.0,7.901,7.68917
2021-07-10 16:00:00,IoTPond9,5,24.75,95.0,9.227,7.41227
2021-07-10 16:00:00,IoTPond3,1,24.1875,30.0,4.733,7.30786
2021-07-10 16:00:00,IoTPond7,4,26.0,33.0,5.2495,6.93108
2021-07-10 16:00:00,IoTPond6,3,24.5625,100.0,3.871,7.75273
2021-07-10 17:00:00,IoTpond1,6,25.1875,100.0,2.002,7.58477
2021-07-10 17:00:00,IoTPond4,2,25.4375,100.0,6.367,7.69371
2021-07-10 17:00:00,IoTPond7,4,26.0,32.0,8.003,6.92654
2021-07-10 17:00:00,IoTPond3,1,24.3125,20.0,3.279,7.30786
2021-07-10 17:00:00,IoTPond9,5,24.8125,95.0,9.227,7.41681
2021-07-10 17:00:00,IoTPond2,0,25.1875,100.0,2.002,7.58477
2021-07-10 17:00:00,IoTPond6,3,24.5625,100.0,3.321,7.7618
2021-07-10 18:00:00,IoTPond9,5,24.8125,96.0,10.066,7.42134
2021-07-10 18:00:00,IoTPond4,2,25.4375,100.0,3.928,7.69371
2021-07-10 18:00:00,IoTpond1,6,25.1875,100.0,2.026,7.59384
2021-07-10 18:00:00,IoTPond7,4,25.9375,33.0,11.963,6.92654
2021-07-10 18:00:00,IoTPond6,3,24.5625,100.0,4.9905,7.7618
2021-07-10 18:00:00,IoTPond3,1,24.3125,27.0,3.068,7.30786
2021-07-10 18:00:00,IoTPond2,0,25.1875,100.0,2.026,7.59384
2021-07-10 19:00:00,IoTpond1,6,25.1875,100.0,7.968999999999999,7.5893
2021-07-10 19:00:00,IoTPond3,1,24.3125,19.0,5.08,7.3124
2021-07-10 19:00:00,IoTPond7,4,25.875,33.0,9.283,6.93108
2021-07-10 19:00:00,IoTPond9,5,24.8125,97.0,9.227,7.43042
2021-07-10 19:00:00,IoTPond6,3,24.5625,100.0,5.5865,7.759535
2021-07-10 19:00:00,IoTPond2,0,25.1875,100.0,7.968999999999999,7.5893
2021-07-10 19:00:00,IoTPond4,2,25.4375,100.0,4.445,7.68917
2021-07-10 20:00:00,IoTPond3,1,24.3125,19.0,5.08,7.3124
2021-07-10 20:00:00,IoTpond1,6,25.125,100.0,5.5625,7.5893
2021-07-10 20:00:00,IoTPond4,2,25.375,100.0,4.317,7.68917
2021-07-10 20:00:00,IoTPond7,4,25.8125,32.0,7.376,6.93108
2021-07-10 20:00:00,IoTPond6,3,24.5625,100.0,4.505,7.76634
2021-07-10 20:00:00,IoTPond9,5,24.75,97.0,7.9575,7.43042
2021-07-10 20:00:00,IoTPond2,0,25.125,100.0,5.5625,7.5893
2021-07-10 21:00:00,IoTPond6,3,24.5,100.0,8.984,7.76634
2021-07-10 21:00:00,IoTPond7,4,25.75,33.0,5.426,6.93108
2021-07-10 21:00:00,IoTPond3,1,24.3125,26.0,5.08,7.3124
2021-07-10 21:00:00,IoTPond9,5,24.625,97.0,7.666,7.43042
2021-07-10 21:00:00,IoTPond2,0,25.125,100.0,7.096,7.58477
2021-07-10 21:00:00,IoTpond1,6,25.125,100.0,7.096,7.58477
2021-07-10 21:00:00,IoTPond4,2,25.3125,100.0,4.068,7.68917
2021-07-10 22:00:00,IoTPond6,3,24.4375,100.0,3.824,7.7618
2021-07-10 22:00:00,IoTPond7,4,25.6875,33.0,4.273,6.93108
2021-07-10 22:00:00,IoTPond3,1,24.3125,16.0,5.08,7.31694
2021-07-10 22:00:00,IoTPond4,2,25.3125,100.0,3.832,7.68917
2021-07-10 22:00:00,IoTpond1,6,25.0625,100.0,6.255,7.59384
2021-07-10 22:00:00,IoTPond2,0,25.0625,100.0,6.255,7.59384
2021-07-10 22:00:00,IoTPond9,5,24.5625,97.0,5.426,7.43496
2021-07-10 23:00:00,IoTPond9,5,24.5,97.0,3.904,7.43042
2021-07-10 23:00:00,IoTpond1,6,25.0625,100.0,6.511,7.5893
2021-07-10 23:00:00,IoTPond7,4,25.625,33.0,4.353,6.93108
2021-07-10 23:00:00,IoTPond2,0,25.0625,100.0,6.511,7.5893
2021-07-10 23:00:00,IoTPond3,1,24.25,26.0,5.13,7.3124
2021-07-10 23:00:00,IoTPond6,3,24.4375,100.0,4.1195,7.76861
2021-07-10 23:00:00,IoTPond4,2,25.25,100.0,4.649,7.68917
2021-07-11 00:00:00,IoTPond7,4,25.5,33.0,1.049,6.93562
2021-07-11 00:00:00,IoTPond3,1,24.25,96.0,5.08,7.3124
2021-07-11 00:00:00,IoTPond6,3,24.34375,100.0,4.6865000000000006,7.76634
2021-07-11 00:00:00,IoTPond4,2,25.1875,100.0,3.019,7.68917
2021-07-11 00:00:00,IoTPond9,5,24.4375,97.0,3.651,7.42134
2021-07-11 00:00:00,IoTPond2,0,25.0,100.0,5.454,7.5893
2021-07-11 00:00:00,IoTpond1,6,25.0,100.0,5.454,7.5893
2021-07-11 01:00:00,IoTPond6,3,24.25,100.0,6.947,7.77542
2021-07-11 01:00:00,IoTPond2,0,24.96875,100.0,6.723000000000001,7.59384
2021-07-11 01:00:00,IoTPond4,2,25.125,100.0,7.4165,7.68463
2021-07-11 01:00:00,IoTPond9,5,24.375,97.0,3.1565000000000003,7.43042
2021-07-11 01:00:00,IoTpond1,6,24.96875,100.0,6.723000000000001,7.59384
2021-07-11 01:00:00,IoTPond7,4,25.4375,33.0,1.121,6.93562
2021-07-11 01:00:00,IoTPond3,1,24.1875,17.0,8.494,7.31694
2021-07-11 02:00:00,IoTPond9,5,24.25,97.0,8.437999999999999,7.42361
